id,name,link,logo,short_description,full_description,type,status,origin,"rating (quality, stability, features, maturity)","popularity (community size, recognition, adoption)",additional_info,website,github,updated_at
86,Corvus ROM,https://aitoolbuzz.com/roms/corvus-rom,https://aitoolbuzz.com/assets/agents/roms/logos/Corvus_ROM-91c72cba.png,Performance-focused Android ROM,"Corvus ROM is an Android custom ROM designed with a focus on performance, gaming, and user experience.",AOSP,Inactive,India,860,740,Gaming-focused,,https://github.com/Corvus-AOSP,06-01-2026 16.02
87,OmniROM microG builds,https://aitoolbuzz.com/roms/omnirom-microg,,OmniROM with microG support,OmniROM microG builds are privacy-focused OmniROM variants integrating microG services.,OmniROM + microG,Active,USA,850,560,De-Googled OmniROM,,,06-01-2026 14.58
88,Project Sakura,https://aitoolbuzz.com/roms/project-sakura,https://aitoolbuzz.com/assets/agents/roms/logos/Project_Sakura-eec1bbe3.jpg,Smooth and elegant Android ROM,"Project Sakura is a custom Android ROM focused on elegance, smooth performance, and visual polish.",AOSP,Inactive,India,840,700,Elegant & smooth,https://projectsakura.xyz/,https://github.com/ProjectSakura,06-01-2026 14.58
89,GamingROM,https://aitoolbuzz.com/roms/gamingrom,,Performance-focused Android ROM for gaming,GamingROM is an Android custom ROM optimized for gaming performance and responsiveness.,AOSP (Gaming),Active,India,840,680,Performance-tuned for gaming,,,06-01-2026 15.08
90,MIUI OneOS,https://aitoolbuzz.com/roms/miui-oneos,https://aitoolbuzz.com/assets/agents/roms/logos/OneOS.webp,Feature-rich MIUI-based ROM,MIUI OneOS is a MIUI-based custom ROM for Xiaomi devices offering extensive features and customization.,MIUI-based ROM,Active,Global,840,700,Feature-rich,,,06-01-2026 14.58
91,Pitch Black Recovery Project,https://aitoolbuzz.com/roms/pitchblack-recovery,https://aitoolbuzz.com/assets/agents/roms/logos/Pitch_Black_Recovery_Project-32e2bb2d.png,Minimal and powerful Android recovery,Pitch Black Recovery Project is a custom Android recovery environment designed to provide essential utilities for device recovery and maintenance.,Custom Recovery,Active,Global,840,720,Minimal & powerful,https://pitchblackrecovery.com/,https://github.com/PitchBlackRecoveryProject,06-01-2026 14.58
92,Bootleggers ROM,https://aitoolbuzz.com/roms/bootleggers-rom,https://aitoolbuzz.com/assets/agents/roms/logos/Bootleggers_ROM-0cf8e1a1.png,Fun and feature-packed Android ROM,Bootleggers ROM is an Android custom ROM based on AOSP that combines extensive features with a playful design approach.,AOSP,Discontinued,USA,830,700,"Fun branding, feature-heavy",https://bootleggersrom.github.io/,https://github.com/BootleggersROM,06-01-2026 14.58
93,MoKee ROM,https://aitoolbuzz.com/roms/mokee-rom,https://aitoolbuzz.com/assets/agents/roms/logos/MoKee_ROM-40fac5df.png,Long-running open-source Android ROM,"MoKee ROM is an open-source Android custom ROM known for long-term development, stability, and support for a wide range of devices.",AOSP,Inactive,China,820,720,"Long-running, stable project",https://www.mokeedev.com/en/,https://github.com/MoKee,06-01-2026 22.16
94,Proton AOSP,https://aitoolbuzz.com/roms/proton-aosp,https://aitoolbuzz.com/assets/agents/roms/logos/Proton_AOSP-9e00029e.png,Minimal and privacy-aware Android ROM,"Proton AOSP is a minimal Android custom ROM that emphasizes UI/UX polish, performance, and light privacy enhancements.",AOSP,Active,India,820,560,Minimal & privacy-aware,https://protonaosp.org/,https://github.com/ProtonAOSP,06-01-2026 14.58
95,ResurrectionRemix-Revived,https://aitoolbuzz.com/roms/rr-revived,https://aitoolbuzz.com/assets/agents/roms/logos/ResurrectionRemix_Revived-5d2f543e.png,Community-maintained Resurrection Remix fork,ResurrectionRemix-Revived is an unofficial fork of Resurrection Remix focused on continuing updates and security patches.,AOSP,Active,Unknown,820,520,Community continuation,https://resurrectionremix.com/,https://github.com/ResurrectionRemix-Revived,06-01-2026 14.58
96,Shift OS,https://aitoolbuzz.com/roms/shift-os,,Android OS by SHIFT GmbH,"Shift OS is an Android operating system developed by SHIFT GmbH since 2018, focusing on sustainability and longevity.",Proprietary Android,Active,Germany,820,520,Sustainable phones,,,06-01-2026 14.58
97,SkyLineUI,https://aitoolbuzz.com/roms/skylineui,https://aitoolbuzz.com/assets/agents/roms/logos/SkyLineUI-3e72160e.png,Pixel-based ROM with curated features,"SkyLineUI is a Pixel-style Android ROM based on AOSP and PixelOS, integrating useful features from popular custom ROMs.",PixelOS-based,Active,India,820,560,Pixel ROM with extras,,https://github.com/SkylineUI,06-01-2026 14.58
98,Tequila OS,https://aitoolbuzz.com/roms/tequila-os,https://aitoolbuzz.com/assets/agents/roms/logos/Tequila_OS-93d80629.png,Experimental Android custom ROM,Tequila OS is a community-driven Android custom ROM with a playful identity and experimental development focus.,AOSP,Active,Poland,820,610,Successor to Streak,https://tequilaos.org,https://github.com/tequilaOS,06-01-2026 14.58
99,Validus OS,https://aitoolbuzz.com/roms/validus-os,https://aitoolbuzz.com/assets/agents/roms/logos/Validus_OS-e21a3dd8.jpg,Feature-rich Android custom ROM,"Validus OS is an Android custom ROM based on AOSP, known for blending performance, customization, and visual polish.",AOSP,Inactive,USA,820,680,Performance ROM,,https://github.com/ValidusOs,06-01-2026 19.09
100,WaveOS,https://aitoolbuzz.com/roms/waveos,https://aitoolbuzz.com/assets/agents/roms/logos/WaveOS-f3885950.png,Aesthetic and performance-focused AOSP ROM,"WaveOS is an AOSP-based Android custom ROM that balances visual design, functionality, and system performance.",AOSP,Active,India,820,560,Aesthetic + performance,,https://github.com/Wave-Project,06-01-2026 14.58
101,SlimLP,https://aitoolbuzz.com/roms/slimlp,,SlimRoms Android Lollipop build,SlimLP is the Android Lollipop–based release of the SlimRoms project.,SlimRoms,Discontinued,USA,820,640,Lollipop era,,,06-01-2026 14.58
102,XOSP (Extended Open Source Project),https://aitoolbuzz.com/roms/xosp,,Extended AOSP-based Android ROM,XOSP is an AOSP-based Android custom ROM offering extended features and system customization.,AOSP,Discontinued,USA,820,660,Extended features,,,06-01-2026 14.58
103,AOSP CAF,https://aitoolbuzz.com/roms/aosp-caf,,CAF-enhanced AOSP builds,AOSP CAF refers to Android Open Source Project builds enhanced with CodeAurora Forum optimizations.,AOSP + CAF,Active,USA,820,620,CAF-optimized AOSP builds,,,06-01-2026 14.58
104,NothingOS AOSP Port,https://aitoolbuzz.com/roms/nothingos-aosp-port,,NothingOS-style Android ROM,NothingOS AOSP Port adapts Nothing OS design and features to an AOSP-based ROM.,OEM UI Port,Active,UK,820,600,Nothing OS design on AOSP,,,06-01-2026 14.58
105,LineageOS Extended,https://aitoolbuzz.com/roms/lineageos-extended,https://aitoolbuzz.com/assets/agents/roms/logos/lineageos-extended-1767750794.jpg,Enhanced LineageOS-based ROM,LineageOS Extended is a LineageOS-based Android ROM with additional customization features.,AOSP,Active,India,820,540,Extra customization,,https://github.com/Los-Ext,07-01-2026 1.54
106,EliteRoms,https://aitoolbuzz.com/roms/eliteroms,https://aitoolbuzz.com/assets/agents/roms/logos/EliteRoms.jpg,MIUI and HyperOS-based custom OS,EliteRoms is a development project creating custom Android OS builds based on MIUI and HyperOS for supported devices.,MIUI / HyperOS ROMs,Active,Pakistan,820,640,Multi-device builds,https://www.elitedevelopment.com.pk/,,06-01-2026 14.58
107,HyperIN,https://aitoolbuzz.com/roms/hyperin,https://aitoolbuzz.com/assets/agents/roms/logos/HyperIN.png,Pure HyperOS custom ROM,HyperIN is a HyperOS-based Android ROM focused on delivering a clean and pure HyperOS experience.,HyperOS ROM,Active,India,820,620,“Pure” HyperOS,https://hyperin.vercel.app/,https://github.com/HyperIN-The-Ultra-Pure-HyperOS-ROM,06-01-2026 14.58
108,HyperVoltron,https://aitoolbuzz.com/roms/hypervoltron,https://aitoolbuzz.com/assets/agents/roms/logos/HyperVoltron.jpg,Enhanced HyperOS custom ROM,HyperVoltron is a HyperOS-based Android ROM focused on extended features and performance.,HyperOS ROM,Active,India,820,640,Feature-extended,,,06-01-2026 14.58
109,AliOS,https://aitoolbuzz.com/roms/alios,,Alibaba’s Android-based OS,"AliOS is an Android-derived operating system developed by Alibaba Cloud, incompatible with standard Android apps.",Proprietary Android fork,Active,China,820,700,Alibaba ecosystem,,,06-01-2026 14.58
110,Smartisan OS,https://aitoolbuzz.com/roms/smartisan-os,https://aitoolbuzz.com/assets/agents/roms/logos/AbhixMIUI.jpg,Android OS by Smartisan,"Smartisan OS is an Android-based operating system developed by Smartisan since 2012, known for its distinctive UI design and productivity-focused features.",Proprietary Android OS,Inactive,China,820,700,Design-centric,,,06-01-2026 16.51
111,RedWolf Recovery Project,https://aitoolbuzz.com/roms/redwolf-recovery,https://aitoolbuzz.com/assets/agents/roms/logos/RedWolf_Recovery_Project-19c3fb2f.jpg,TWRP-based custom recovery,"RedWolf Recovery Project is a custom Android recovery originating from Europe, based on TWRP with additional features and enhancements.",Custom Recovery,Inactive,Europe,820,640,TWRP-based,https://redwolfrecovery.github.io/,https://github.com/RedWolfRecovery,06-01-2026 14.58
112,APatch : The Patching of Android Kernel & System,https://aitoolbuzz.com/roms/apatch,https://aitoolbuzz.com/assets/agents/roms/logos/APatch_The_Patching_of_Android_Kernel___System-d636232f.png,Android kernel and system patching tool,"APatch is a tool designed for patching the Android kernel and system, enabling advanced system modifications.",Root / Patch Tool,Active,Global,820,620,Kernel & system,,https://github.com/bmax121/APatch,06-01-2026 14.58
113,AICP (Android Ice Project),https://aitoolbuzz.com/roms/aicp,https://aitoolbuzz.com/assets/agents/roms/logos/AICP_Android_Ice_Project-92980ab9.png,Highly customizable Android ROM,"AICP is a customized Android ROM that combines a clean UI with extensive customization options, allowing users to fine-tune their device experience.",LineageOS-based,Active,USA,820,720,Veteran ROM (since 2011),https://www.aicp-rom.com/,https://github.com/AICP,06-01-2026 14.58
114,AOSP Extended,https://aitoolbuzz.com/roms/aosp-extended,https://aitoolbuzz.com/assets/agents/roms/logos/AOSP_Extended-fd41bc27.png,Stock-like AOSP ROM with customization,AOSP Extended is an Android custom ROM based on AOSP that combines a stock Android feel with additional customization features.,AOSP,Discontinued,India,820,840,Massively popular fork,https://www.aospextended.com/,https://github.com/AospExtended,06-01-2026 14.58
115,Derpfest,https://aitoolbuzz.com/roms/derpfest,https://aitoolbuzz.com/assets/agents/roms/logos/Derpfest-1d478366.png,Community-driven feature-rich AOSP ROM,Derpfest is an AOSP-based custom ROM that merges features from across the Android development community while prioritizing stability.,AOSP,Active,Germany,820,580,Community-driven,https://derpfest.org/,https://github.com/DerpFest-AOSP,06-01-2026 14.58
116,Liquid Remix,https://aitoolbuzz.com/roms/liquid-remix,https://aitoolbuzz.com/assets/agents/roms/logos/Liquid_Remix-6e5964d7.png,Feature-rich Android ROM,Liquid Remix is an Android custom ROM known for blending customization features into a smooth AOSP-based experience.,AOSP,Discontinued,USA,800,650,Feature fusion ROM,,https://github.com/LiquidRemix,06-01-2026 14.58
117,RisingOS,https://aitoolbuzz.com/roms/risingos,https://aitoolbuzz.com/assets/agents/roms/logos/RisingOS-1f9ccfef.png,Android project by RisingTechOSS,"RisingOS is an Android custom ROM developed under Rising Tech Open Source Software, focusing on modern Android development.",AOSP,Active,Philippines,800,600,RisingTech OSS,,https://github.com/RisingTechOSS,06-01-2026 14.58
118,StatiX OS,https://aitoolbuzz.com/roms/statix-os,https://aitoolbuzz.com/assets/agents/roms/logos/StatiX_OS-4bb56cab.png,Homebrew Android distribution,"StatiX OS is a homebrew distribution of Android focused on stability, customization, and a community-driven development approach.",AOSP,Active,USA,800,540,Homebrew distro,,https://github.com/StatiXOS,06-01-2026 14.58
119,SlimKat,https://aitoolbuzz.com/roms/slimkat,,SlimRoms Android KitKat build,SlimKat represents the Android KitKat branch of the SlimRoms project.,SlimRoms,Discontinued,USA,800,600,KitKat era,,,06-01-2026 14.58
120,Xylon ROM,https://aitoolbuzz.com/roms/xylon-rom,,Custom Android firmware project,Xylon ROM is an Android custom firmware project focused on performance and customization.,AOSP,Discontinued,USA,800,620,Early custom ROM,,,06-01-2026 14.58
121,Pixel CAF,https://aitoolbuzz.com/roms/pixel-caf,,Pixel-style CAF-based ROM,Pixel CAF is an Android custom ROM combining Pixel UI design with CAF optimizations.,Pixel-style + CAF,Inactive,India,800,520,Pixel UI with CAF optimizations,,,06-01-2026 14.58
122,CrDroid R Mod (TrebleGSI Files),https://aitoolbuzz.com/roms/crdroid-r-mod-gsi,,crDroid-based Treble GSI,CrDroid R Mod is a Treble GSI variant of crDroid with additional modifications.,GSI (crDroid),Inactive,Global,800,560,crDroid-based GSIs,,,06-01-2026 14.58
123,HyperOS Reborn,https://aitoolbuzz.com/roms/hyperos-reborn,,Revived HyperOS custom ROM,HyperOS Reborn is a community-driven HyperOS-based Android ROM.,HyperOS ROM,Active,India,800,600,Community revival,,,06-01-2026 14.58
124,Pterodon Recovery,https://aitoolbuzz.com/roms/pterodon-recovery,https://aitoolbuzz.com/assets/agents/roms/logos/Pterodon_Recovery-6d323c23.jpg,Community-built Android custom recovery,"Pterodon Recovery is a modern Android custom recovery developed by the community, focusing on usability and active development.",Custom Recovery,Active,Global,800,600,Community-built,,https://github.com/PterodonRecovery,06-01-2026 14.58
125,Carbon ROM,https://aitoolbuzz.com/roms/carbon-rom,https://aitoolbuzz.com/assets/agents/roms/logos/Carbon_ROM-c31041f6.jpg,Highly customizable AOSP-based ROM,Carbon ROM is an aftermarket Android firmware based on AOSP that adds extensive customization options to stock Android.,AOSP,Inactive,USA,800,680,Veteran ROM,https://carbonrom.org/,https://github.com/CarbonROM,06-01-2026 14.58
126,LMODroid,https://aitoolbuzz.com/roms/lmodroid,https://aitoolbuzz.com/assets/agents/roms/logos/LMODroid-89e96833.png,LineageOS-based ROM mirror,LMODroid is a LineageOS-based Android ROM project primarily maintained as a source mirror.,LineageOS-based,Active,Unknown,780,500,Clean LOS derivative,https://git.libremobileos.com/LMODroid/,https://github.com/LMODroid,06-01-2026 14.58
127,Project Titanium,https://aitoolbuzz.com/roms/project-titanium,https://aitoolbuzz.com/assets/agents/roms/logos/Project_Titanium-080b66f2.png,Fast and feature-focused AOSP ROM,"Project Titanium is a custom Android ROM based on AOSP, designed for speed, performance, and feature richness.",AOSP,Inactive,India,780,520,Speed-focused,,https://github.com/Project-Titanium,06-01-2026 14.58
128,Syberia OS,https://aitoolbuzz.com/roms/syberia-os,https://aitoolbuzz.com/assets/agents/roms/logos/Syberia_OS-88bf514d.png,Enhanced stock Android experience,Syberia OS is an AOSP-based project built to enhance the stock Android experience with performance and customization improvements.,AOSP,Inactive,Russia,780,560,Polished UI,https://syberiaos.com/,https://github.com/syberia-project,06-01-2026 14.58
129,xdroidOSS,https://aitoolbuzz.com/roms/xdroidoss,https://aitoolbuzz.com/assets/agents/roms/logos/xdroidOSS-4a908d9c.png,Minimal and functional Android OS,"xdroidOSS is an Android operating system with a minimal design philosophy, focused on essential features and usability.",AOSP,Active,Indonesia,780,520,Minimal design,http://xd.xyzscape.xyz/,https://github.com/xdroid-oss,06-01-2026 14.58
130,Xtended XS,https://aitoolbuzz.com/roms/xtended-xs,https://aitoolbuzz.com/assets/agents/roms/logos/Xtended_XS-6196b15a.jpg,Redefined Android custom ROM,"Xtended XS is a custom Android ROM designed to redefine the Android experience through features, polish, and performance.",AOSP,Inactive,India,780,520,Reimagined ROM,https://project-xtended.org/,https://github.com/Project-Xtended,06-01-2026 14.58
131,Mahdi ROM,https://aitoolbuzz.com/roms/mahdi-rom,,Feature-rich Android custom ROM,Mahdi ROM is an AOSP-based Android ROM known for customization options and performance tuning.,AOSP,Discontinued,USA,780,620,Feature-heavy,,,06-01-2026 14.58
132,Vanir AOSP,https://aitoolbuzz.com/roms/vanir-aosp,,Performance-focused AOSP custom ROM,Vanir AOSP is an Android custom ROM based on AOSP with performance and customization enhancements.,AOSP,Discontinued,USA,780,580,Performance focus,,,06-01-2026 14.58
133,OptimumDrunk CAF,https://aitoolbuzz.com/roms/optimumdrunk-caf,,CAF-based OptimumDrunk ROM,OptimumDrunk CAF is a CAF-enhanced version of the OptimumDrunk Android custom ROM.,CAF-based,Inactive,India,780,460,Performance-focused CAF ROM,,,07-01-2026 1.11
134,Sony Xperia AOSP ROM,https://aitoolbuzz.com/roms/xperia-aosp-rom,,Xperia-style AOSP custom ROM,Sony Xperia AOSP ROM integrates Xperia UI elements into a clean AOSP base.,OEM-inspired AOSP,Inactive,Japan,780,520,Xperia UI elements on AOSP,,,06-01-2026 14.58
135,LineageOS Lite,https://aitoolbuzz.com/roms/lineageos-lite,,Lightweight LineageOS-based ROM,LineageOS Lite is a stripped-down LineageOS variant focused on performance and simplicity.,LineageOS-based (Minimal),Inactive,Global,780,460,Lightweight LOS,,,06-01-2026 14.58
136,Corvus OS (Tipz Team Builds Files),https://aitoolbuzz.com/roms/corvus-os-tipz,,Corvus OS Treble builds,Corvus OS Tipz Team builds are Treble GSI variants of Corvus OS.,GSI (AOSP),Inactive,India,780,520,Community Treble builds,,,07-01-2026 1.51
137,HyperOS GoPlus,https://aitoolbuzz.com/roms/hyperos-goplus,,Lightweight HyperOS-based ROM,HyperOS GoPlus is a lightweight custom ROM based on Xiaomi HyperOS.,HyperOS ROM,Active,India,780,560,Lightweight,,,06-01-2026 14.58
138,HyperVN,https://aitoolbuzz.com/roms/hypervn,https://aitoolbuzz.com/assets/agents/roms/logos/MIUIVN.webp,Vietnamese HyperOS custom ROM,HyperVN is a HyperOS-based Android ROM developed for Vietnamese users.,HyperOS ROM,Active,Vietnam,780,580,VN localization,,,06-01-2026 14.58
139,MIUI TR,https://aitoolbuzz.com/roms/miui-tr,https://aitoolbuzz.com/assets/agents/roms/logos/miuitr.jpg,Turkish MIUI custom ROM,MIUI TR is a MIUI-based Android custom ROM localized for Turkish users.,MIUI-based ROM,Inactive,Turkey,780,560,TR localization,https://forum.miuitr.info/bolum/miuitr.5/,,06-01-2026 14.58
140,Baidu Yi,https://aitoolbuzz.com/roms/baidu-yi,,Discontinued Baidu Android OS,Baidu Yi was an Android-based operating system developed by Baidu and discontinued in 2015.,Proprietary Android fork,Discontinued,China,780,720,Discontinued (2015),,,06-01-2026 14.58
141,LeWa OS,https://aitoolbuzz.com/roms/lewa-os,,Early Chinese Android OS,LeWa OS is an Android-based operating system developed by Lewa Technology starting in 2011.,Proprietary Android OS,Discontinued,China,780,680,Early Chinese OS,,,06-01-2026 14.58
142,Ancient OS,https://aitoolbuzz.com/roms/ancient-os,https://aitoolbuzz.com/assets/agents/roms/logos/Ancient_OS-8a99157b.png,Performance and stability-focused AOSP ROM,"Ancient OS is a custom ROM based on AOSP with a strong focus on performance, security, and long-term system stability.",AOSP,Active,India,780,520,Performance & stability focus,https://www.ancientrom.xyz/,https://github.com/Ancient-Lab,06-01-2026 14.58
143,Colt OS,https://aitoolbuzz.com/roms/colt-os,https://aitoolbuzz.com/assets/agents/roms/logos/Colt_OS-3c0cf5cf.png,Feature-packed AOSP-based ROM,Colt OS is a custom Android ROM that delivers extensive features with a clean and stable AOSP base.,AOSP,Inactive,India,770,510,Feature-packed,,https://github.com/Colt-Enigma,06-01-2026 14.58
144,Hentai OS,https://aitoolbuzz.com/roms/hentai-os,https://aitoolbuzz.com/assets/agents/roms/logos/Hentai_OS-292fb990.png,Community-driven Android custom ROM,"Hentai OS is an AOSP-based custom Android ROM known for offering a mix of features, performance tweaks, and customization.",AOSP,Inactive,India,760,470,Highly customizable,https://hentaios.com/,https://github.com/hentaiOS,06-01-2026 14.58
145,Mist-OS,https://aitoolbuzz.com/roms/mist-os,https://aitoolbuzz.com/assets/agents/roms/logos/Mist_OS-18287ad8.jpg,Pixel-inspired AOSP custom ROM,"Mist-OS is a beautifully crafted Android ROM based on AOSP and Pixel features, offering polished design and quality features.",AOSP,Inactive,India,760,440,"Pixel-inspired, polished",,https://github.com/Project-Mist-OS,06-01-2026 14.58
146,Nitrogen OS,https://aitoolbuzz.com/roms/nitrogen-os,https://aitoolbuzz.com/assets/agents/roms/logos/Nitrogen_OS-b1005267.jpg,Lightweight Android ROM for Pixel devices,"Nitrogen OS is a clean and lightweight Android custom ROM, with builds such as Android 14 available for devices like the Google Pixel 6a.",AOSP,Inactive,Russia,760,480,Clean & lightweight,,https://github.com/nitrogen-project,06-01-2026 14.58
147,Pixel Extended,https://aitoolbuzz.com/roms/pixel-extended,https://aitoolbuzz.com/assets/agents/roms/logos/Pixel_Extended-a215a968.png,Feature-rich fork of PixelExperience,Pixel Extended is a fork of PixelExperience that expands customization while retaining Pixel-style UI and features.,PixelExperience fork,Inactive,India,760,500,Extra customization,,https://github.com/PixelExtended,06-01-2026 14.58
148,ReloadedOS,https://aitoolbuzz.com/roms/reloadedos,https://aitoolbuzz.com/assets/agents/roms/logos/ReloadedOS-ce45ac3b.png,CAF-based ROM with strong battery life,ReloadedOS is a CAF-based Android custom ROM that provides a stock AOSP feel while delivering high performance and excellent battery backup.,CAF-based,Inactive,India,760,430,Battery & performance,https://reloadedos.org/,https://github.com/ReloadedOS,06-01-2026 14.58
149,SomethingOS,https://aitoolbuzz.com/roms/somethingos,https://aitoolbuzz.com/assets/agents/roms/logos/SomethingOS-8d01a36b.jpg,AOSPA fork with new design,"SomethingOS is a fork of Paranoid Android (AOSPA), featuring additional features and a refreshed visual design.",AOSPA fork,Inactive,India,760,420,New design,https://somethingos.com,https://github.com/SomethingOS,06-01-2026 14.58
150,Viper OS,https://aitoolbuzz.com/roms/viper-os,https://aitoolbuzz.com/assets/agents/roms/logos/Viper_OS-9d83474d.png,Custom Android ROM with enhancements,"Viper OS is an Android custom ROM that focuses on system enhancements, performance tuning, and customization.",AOSP,Inactive,India,760,480,Feature-rich,https://viperos.gitlab.io/,https://github.com/ViperOS,06-01-2026 14.58
151,XPerience CAF,https://aitoolbuzz.com/roms/xperience-caf,https://aitoolbuzz.com/assets/agents/roms/logos/XPerience_CAF-59310387.png,CAF-based Android custom ROM,"XPerience CAF is a custom Android ROM based on CAF, focused on performance optimization and hardware compatibility.",CAF-based,Inactive,India,760,470,Performance focus,,https://github.com/TheXperienceProject,07-01-2026 1.11
152,SlimBean,https://aitoolbuzz.com/roms/slimbean,,SlimRoms Android Jelly Bean build,SlimBean is the Jelly Bean–era release branch of the SlimRoms Android project.,SlimRoms,Discontinued,USA,760,540,Jelly Bean era,,,06-01-2026 14.58
153,EAS CAF ROM,https://aitoolbuzz.com/roms/eas-caf-rom,,CAF ROM with EAS scheduling,EAS CAF ROM is a CAF-based Android ROM optimized using Energy Aware Scheduling.,CAF-based,Inactive,Unknown,760,420,Energy Aware Scheduling optimizations,,,06-01-2026 14.58
154,TurboROM,https://aitoolbuzz.com/roms/turborom,,Performance-optimized Android custom ROM,"TurboROM is an Android custom ROM focused on speed, responsiveness, and performance tuning.",AOSP,Inactive,India,760,420,Performance-oriented tuning,,,06-01-2026 14.58
155,Barebone AOSP,https://aitoolbuzz.com/roms/barebone-aosp,,Minimal AOSP Android ROM,Barebone AOSP is a stripped-down Android ROM focusing only on core AOSP functionality.,Minimal AOSP,Inactive,Unknown,760,440,Core AOSP only,,,06-01-2026 14.58
156,Pixel Go ROM,https://aitoolbuzz.com/roms/pixel-go-rom,,Pixel-style Android Go ROM,Pixel Go ROM combines Android Go optimization with Pixel-inspired UI elements.,Android Go + Pixel UI,Inactive,India,760,460,Pixel-styled Android Go,,,06-01-2026 14.58
157,IndoDroid,https://aitoolbuzz.com/roms/indodroid,,Indonesian-focused Android ROM,IndoDroid is an Android custom ROM developed for Indonesian users and devices.,Regional AOSP,Inactive,Indonesia,760,460,Indonesian community ROM,,,06-01-2026 14.58
158,TurkROM,https://aitoolbuzz.com/roms/turkrom,,Turkish community Android ROM,TurkROM is a community-developed Android custom ROM for Turkish users.,Regional AOSP,Inactive,Turkey,760,460,Turkish community ROM,,,06-01-2026 14.58
159,VietOS,https://aitoolbuzz.com/roms/vietos,,Vietnamese-focused Android ROM,VietOS is an Android custom ROM developed for Vietnamese users and devices.,Regional AOSP,Inactive,Vietnam,760,480,Vietnamese localization,,,06-01-2026 14.58
160,AOSP 12.1 v416 (treble_experimentations),https://aitoolbuzz.com/roms/aosp-12-1-v416,,Experimental AOSP 12.1 GSI build,AOSP 12.1 v416 is an experimental Treble GSI build used for testing and development.,GSI (AOSP),Experimental,Global,760,420,Treble testing build,,https://github.com/phhusson/treble_experimentations/releases,06-01-2026 14.58
161,Abhix MIUI,https://aitoolbuzz.com/roms/abhix-miui,,Modified MIUI-based Android ROM,Abhix MIUI is a customized MIUI-based Android ROM offering additional tweaks and optimizations.,MIUI-based ROM,Inactive,India,760,520,Tweaked MIUI,,,06-01-2026 14.58
162,Hyper Mint,https://aitoolbuzz.com/roms/hyper-mint,https://aitoolbuzz.com/assets/agents/roms/logos/HyperMint.jpg,HyperOS-based Android ROM,Hyper Mint is a custom Android ROM based on Xiaomi HyperOS.,HyperOS-based ROM,Inactive,Indonesia,760,520,HyperOS variant,,,06-01-2026 14.58
163,HyperOS TN,https://aitoolbuzz.com/roms/hyperos-tn,https://aitoolbuzz.com/assets/agents/roms/logos/HyperOSReborn.jpg,Regional HyperOS custom ROM,HyperOS TN is a HyperOS-based Android ROM tailored for specific regional use.,HyperOS ROM,Inactive,India,760,540,Regional,https://miuitn.vercel.app/HyperTN/,,06-01-2026 14.58
164,Riru,https://aitoolbuzz.com/roms/riru,,Zygote injection framework,"Riru is a framework that injects code into Android’s Zygote process, historically used by modules such as EdXposed and LSPosed.",Framework,Inactive,Global,760,520,Legacy injection,,,06-01-2026 14.58
165,DroidGuard Helper,https://aitoolbuzz.com/roms/droidguard-helper,,Google SafetyNet compatibility helper,DroidGuard Helper is a tool designed to assist with Google SafetyNet and device integrity checks on modified Android systems.,SafetyNet Helper,Active,Global,760,540,Integrity checks,,,06-01-2026 14.58
166,AOSiP (Android Open Source Illusion Project),https://aitoolbuzz.com/roms/aosip,https://aitoolbuzz.com/assets/agents/roms/logos/AOSiP_Android_Open_Source_Illusion_Project-6d73fafa.png,Clean AOSP-based Android ROM,"AOSiP is an Android custom ROM based on AOSP that aims to provide a smooth, clean, and stable Android experience.",AOSP,Inactive,USA,760,610,Clean & stable builds,https://aosip.dev/,https://github.com/AOSiP,06-01-2026 14.58
167,Cherish OS,https://aitoolbuzz.com/roms/cherish-os,https://aitoolbuzz.com/assets/agents/roms/logos/Cherish_OS-2a9a8b44.png,Feature-rich Pixel-inspired ROM,"Cherish OS is a beautiful Android ROM based on AOSP and Pixel features, offering quality customization options.",AOSP,Active,Vietnam,760,420,Pixel-inspired,https://cherishos.com/,https://github.com/CherishOS,06-01-2026 14.58
168,Pixys OS,https://aitoolbuzz.com/roms/pixys-os,https://aitoolbuzz.com/assets/agents/roms/logos/Pixys_OS-30dc4634.png,Minimal Pixel-style AOSP ROM,Pixys OS is a lightweight AOSP-based Android ROM with minimal customizations and a focus on smooth performance.,AOSP,Inactive,India,750,460,Minimal Pixel ROM,https://downloads.pixysos.com/,https://github.com/PixysOS,06-01-2026 14.58
169,AlphaDroid,https://aitoolbuzz.com/roms/alphadroid,https://aitoolbuzz.com/assets/agents/roms/logos/AlphaDroid-0aa42933.jpg,Feature-rich ROM based on crDroid,"AlphaDroid is a custom ROM based on crDroid that introduces a refreshed design, additional features, and performance optimizations.",crDroid-based,Active,India,750,430,Modern UI + optimizations,,https://github.com/AlphaDroid-Project,06-01-2026 14.58
170,PixelDust-Project-X,https://aitoolbuzz.com/roms/pixeldust-project-x,https://aitoolbuzz.com/assets/agents/roms/logos/Pixel_Dust-0033c384.png,Clean and minimal Pixel-inspired ROM,Pixel Dust is a lightweight Android custom ROM focused on delivering a clean Pixel-like experience with minimal modifications.,AOSP,Active,USA,740,460,Clean Pixel experience,,https://github.com/PixelDust-Project-X,06-01-2026 17.00
